Word,InputTime(s),BackspaceCount,KeystrokeCount,DelayTime(ms)
縺■縺ｭ繧薙ｮ縺代＞縺ｯ縺後ｓ縺溘ｓ縺ｫ縺ゅｊ,6.72,0,27,1500
縺倥ｓ縺倥ｒ縺､縺上＠縺ｦ縺ｦ繧薙ａ縺ｒ縺ｾ縺､,4.49,0,28,3800
縺倥§縺､縺ｯ縺励ｇ縺○縺､繧医ｊ繧ゅ″縺ｪ繧,4.51,0,28,0
繧∪縺溘°縺阪′繧∴縺ｫ縺ｨ縺→縺九ｉ縺,8.07,3,37,0
繧繧翫′縺ｨ縺翫ｌ縺ｰ縺ｩ縺ｊ縺後ｲ縺｣縺薙,32.13,127,209,3200
縺阪ｮ縺ｯ縺ｲ縺ｨ縺ｮ縺ｿ縺阪ｇ縺ｯ繧上′縺ｿ,5.71,0,27,0
縺翫ｓ縺ｪ縺輔ｓ縺ｫ繧薙ｈ繧後ｰ縺九＠縺ｾ縺励＞,4.56,0,28,3100
縺＠縺ｫ縺ｲ縺九ｌ縺ｦ縺懊ｓ縺薙≧縺倥∪縺ｊ,4.68,0,27,1100
縺九ｏ縺＆縺ゅ∪縺｣縺ｦ縺ｫ縺上＆縺後ｲ繧￥縺ｰ縺,5.21,0,29,2000
縺ゅ♀縺ｯ縺ゅ＞繧医ｊ縺〒縺ｦ縺ゅ＞繧医ｊ縺ゅ♀縺,5.96,1,27,2500
縺ｲ縺ｨ縺ｮ縺ｏ縺輔ｂ縺励■縺倥ｅ縺＃縺ｫ縺｡,25.73,112,189,1900
縺ｲ縺ｨ縺ｮ縺ｵ繧翫∩縺ｦ繧上′縺ｵ繧翫↑縺翫○,171.65,1,30,1200
縺阪ｈ縺ｿ縺壹ｮ縺ｶ縺溘＞縺九ｉ縺ｨ縺ｳ縺翫ｊ繧,4.86,0,28,3500
縺ゅ◆繧九ｂ縺ｯ縺｣縺代≠縺溘ｉ縺ｬ繧ゅｯ縺｣縺,10.81,53,85,3000
縺ｲ縺ｮ縺ｪ縺→縺薙ｍ縺ｫ縺代繧翫ｯ縺溘◆縺ｬ,8.29,10,43,3600
縺上■繧ゅｯ縺｣縺｡繧≧縺ｦ繧ゅｯ縺｣縺｡繧≧,14.67,9,46,800
縺九ｵ縺上ｯ縺ゅ＊縺ｪ縺医ｋ縺ｪ繧上ｮ縺斐→縺,6.35,1,30,2700
縺九↓縺ｯ縺薙≧繧峨↓縺ｫ縺帙※縺ゅ↑繧偵⊇繧,5.01,0,28,0
縺ｸ縺溘↑縺ｦ縺｣縺ｽ縺ｂ縺九★縺■繧≠縺溘ｋ,18.37,52,106,3300
縺ｮ縺ｩ繧ゅ→縺吶℃繧後ｰ縺ゅ▽縺輔ｒ繧上☆繧後ｋ,8.5,2,35,1000
縺輔ｓ縺倥ｅ縺ｍ縺｣縺代＞縺ｫ縺偵ｋ縺ｫ縺励°縺,20.65,52,105,3700
縺上ｓ縺励ｅ縺輔ｓ繧ゅｓ縺ｫ縺ｯ縺ｋ繧偵ｆ繧九＆縺,5.69,0,31,2600
縺翫ｓ縺ｪ縺九＠縺薙≧縺ｦ縺＠縺ｊ縺昴％縺ｪ縺,5.71,0,27,2200
縺翫↓繧ゅ§繧⒤≧縺ｯ縺｡縺ｰ繧薙■繧ｂ縺ｧ縺ｰ縺ｪ,15.32,34,87,700
縺ｮ縺ｪ縺九ｮ縺九ｏ縺壹◆縺°縺ｒ縺励ｉ縺,4.26,0,29,500
縺▲縺吶ｓ縺ｮ繧縺励↓繧ゅ＃縺ｶ縺ｮ縺溘∪縺励＞,6.62,1,31,400
縺▲縺励ｇ縺％縺↑繧翫※縺ｰ繧薙％縺､縺九ｋ,4.36,0,26,0
縺■繧医≧縺翫■縺ｦ縺ｦ繧薙°縺ｮ縺ゅ″繧偵＠繧,4.74,0,28,2100
繧阪ｼ縺ｾ縺ｯ縺■縺ｫ縺｡縺ｫ縺励※縺ｪ繧峨★,4.42,0,26,4000
縺ｿ繧偵☆縺ｦ縺ｦ縺薙◎縺°縺ｶ縺帙ｂ縺ゅｌ,4.96,0,26,1700
縺ｻ縺ｭ縺翫ｊ縺槭ｓ縺ｮ縺上◆縺ｳ繧後ｂ縺_,6.84,2,31,3400
縺ｲ縺ｨ縺ｮ縺ｵ繧翫∩縺ｦ繧上′縺ｵ繧翫↑縺翫○,,0,0,
縺斐≧縺ｫ縺▲縺ｦ縺ｯ縺斐≧縺ｫ縺励◆縺後∴,22.06,54,104,3900
縺輔ｓ縺ｫ繧薙ｈ繧後ｰ繧ゅｓ縺倥ｅ縺ｮ縺｡縺,5.28,0,25,600
縺◎縺､縺阪ｯ縺ｩ繧阪⊂縺ｮ縺ｯ縺倥∪繧,6.6,0,26,1800
縺吶℃縺溘ｋ縺ｯ縺翫ｈ縺ｰ縺悶ｋ縺後＃縺ｨ縺,10.32,6,44,1300
繧峨￥縺ｯ縺上ｮ縺溘ｭ縲√￥縺ｯ繧峨￥縺ｮ縺溘ｭ,10.22,1,32,2400
繧ゅｂ縺上ｊ縺輔ｓ縺ｭ繧薙°縺阪ｯ縺｡縺ｭ繧,4.49,0,28,200
縺ｻ縺ｨ縺代▽縺上▲縺ｦ縺溘∪縺励＞縺ｌ縺,4.24,0,25,1400
縺ｸ縺溘ｮ縺九ｓ縺後∴繧☆繧縺ｫ縺ｫ縺溘ｊ,16.38,50,105,2900
縺ｫ縺ｨ繧偵♀縺ｂ縺ｮ縺ｯ縺▲縺ｨ繧偵ｂ縺医★,17.31,6,40,300
縺､繧九ｯ縺帙ｓ縺ｭ繧薙°繧√ｯ縺ｾ繧薙ｭ繧,4.68,0,28,0
縺翫ｳ縺ｫ縺ｿ縺倥°縺励◆縺吶″縺ｫ縺ｪ縺後＠,5.36,2,33,2800
縺■縺ｪ繧薙＆縺｣縺ｦ縺ｾ縺溘＞縺｡縺ｪ繧,5.81,0,23,2300
縺九℃繧⒤≧縺九￥縺倥ｇ縺ｮ縺ゅｉ縺昴＞,16.46,44,85,900
TOTAL,NaN,623,2132,
